player_id,t_fn,b_fn,similarity,t_frame,t_index,b_frame,b_index
94,196_1.jpg,70_5.jpg,0.9353541,196,1,70,5
86,188_2.jpg,113_8.jpg,0.9352582,188,2,113,8
22,26_16.jpg,18_8.jpg,0.93519187,26,16,18,8
128,27_7.jpg,61_0.jpg,0.9351162,27,7,61,0
301,2_4.jpg,39_4.jpg,0.9351119,2,4,39,4
194,16_9.jpg,16_11.jpg,0.93508935,16,9,16,11
243,23_17.jpg,25_6.jpg,0.934999,23,17,25,6
84,58_18.jpg,117_5.jpg,0.93483984,58,18,117,5
167,25_5.jpg,29_2.jpg,0.93465996,25,5,29,2
35,196_13.jpg,25_9.jpg,0.9346397,196,13,25,9
301,14_2.jpg,39_4.jpg,0.93447757,14,2,39,4
100,14_18.jpg,77_4.jpg,0.9344413,14,18,77,4
301,18_18.jpg,39_4.jpg,0.9344109,18,18,39,4
8,33_10.jpg,12_2.jpg,0.9341397,33,10,12,2
35,129_9.jpg,25_9.jpg,0.93413675,129,9,25,9
19,5_3.jpg,7_1.jpg,0.93411404,5,3,7,1
24,11_5.jpg,89_0.jpg,0.9340108,11,5,89,0
108,128_10.jpg,36_8.jpg,0.9339733,128,10,36,8
35,144_15.jpg,25_9.jpg,0.93392146,144,15,25,9
428,21_5.jpg,45_1.jpg,0.9339187,21,5,45,1
56,42_10.jpg,25_15.jpg,0.9339154,42,10,25,15
485,53_8.jpg,120_3.jpg,0.93390566,53,8,120,3
540,9_17.jpg,59_0.jpg,0.93389285,9,17,59,0
140,9_1.jpg,38_1.jpg,0.9338221,9,1,38,1
35,81_18.jpg,25_9.jpg,0.9336543,81,18,25,9
276,22_0.jpg,6_4.jpg,0.9335324,22,0,6,4
457,43_22.jpg,75_13.jpg,0.93343437,43,22,75,13
25,52_20.jpg,107_4.jpg,0.9334203,52,20,107,4
100,111_7.jpg,77_4.jpg,0.93341035,111,7,77,4
430,73_8.jpg,58_2.jpg,0.9334072,73,8,58,2
459,38_15.jpg,103_0.jpg,0.9333954,38,15,103,0
24,130_1.jpg,89_0.jpg,0.93328184,130,1,89,0
481,52_19.jpg,79_3.jpg,0.9332396,52,19,79,3
201,38_1.jpg,41_4.jpg,0.9332267,38,1,41,4
107,19_11.jpg,7_6.jpg,0.933169,19,11,7,6
35,168_0.jpg,25_9.jpg,0.9331602,168,0,25,9
77,186_10.jpg,96_7.jpg,0.93315125,186,10,96,7
425,74_0.jpg,60_0.jpg,0.93311226,74,0,60,0
12,4_14.jpg,119_8.jpg,0.93310446,4,14,119,8
84,174_10.jpg,117_5.jpg,0.93309236,174,10,117,5
6,14_6.jpg,33_4.jpg,0.93297315,14,6,33,4
456,4_23.jpg,87_13.jpg,0.93292797,4,23,87,13
4,75_0.jpg,9_6.jpg,0.9328894,75,0,9,6
75,34_11.jpg,7_7.jpg,0.9327019,34,11,7,7
84,17_8.jpg,117_5.jpg,0.932664,17,8,117,5
4,37_3.jpg,9_6.jpg,0.9326477,37,3,9,6
61,23_4.jpg,41_7.jpg,0.9326471,23,4,41,7
452,34_13.jpg,21_6.jpg,0.9326233,34,13,21,6
24,2_3.jpg,89_0.jpg,0.93256575,2,3,89,0
184,18_20.jpg,57_4.jpg,0.9325615,18,20,57,4
6,59_21.jpg,33_4.jpg,0.9324629,59,21,33,4
19,58_1.jpg,7_1.jpg,0.9324266,58,1,7,1
84,51_8.jpg,117_5.jpg,0.93239653,51,8,117,5
225,149_4.jpg,33_9.jpg,0.9323523,149,4,33,9
276,87_8.jpg,6_4.jpg,0.932269,87,8,6,4
25,6_16.jpg,107_4.jpg,0.93223494,6,16,107,4
8,50_13.jpg,12_2.jpg,0.9321294,50,13,12,2
36,69_6.jpg,61_9.jpg,0.9320409,69,6,61,9
4,18_5.jpg,9_6.jpg,0.93203783,18,5,9,6
35,156_5.jpg,25_9.jpg,0.9319662,156,5,25,9
25,4_15.jpg,107_4.jpg,0.93192464,4,15,107,4
480,51_0.jpg,70_2.jpg,0.93190384,51,0,70,2
126,12_17.jpg,108_3.jpg,0.93189776,12,17,108,3
35,91_16.jpg,25_9.jpg,0.93188965,91,16,25,9
61,65_11.jpg,41_7.jpg,0.93181527,65,11,41,7
122,4_16.jpg,11_9.jpg,0.93179125,4,16,11,9
11,35_1.jpg,78_6.jpg,0.9317887,35,1,78,6
19,36_3.jpg,7_1.jpg,0.93178695,36,3,7,1
18,31_2.jpg,44_3.jpg,0.931759,31,2,44,3
166,132_2.jpg,12_6.jpg,0.93174714,132,2,12,6
102,41_17.jpg,20_8.jpg,0.9317391,41,17,20,8
100,66_3.jpg,77_4.jpg,0.9317282,66,3,77,4
284,192_13.jpg,97_2.jpg,0.93157506,192,13,97,2
270,187_4.jpg,93_6.jpg,0.9315722,187,4,93,6
404,194_12.jpg,83_7.jpg,0.93153656,194,12,83,7
195,52_0.jpg,45_3.jpg,0.9314408,52,0,45,3
284,159_11.jpg,97_2.jpg,0.9313499,159,11,97,2
